Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
EIF4A2	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	3	5|5|5	0.2005	0.4645
MEPCE	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	3	5|5|5	0.4062	0.2683
EIF4A2	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	1	10	0.6022	0.1358
MEPCE	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	1	10	0.4903	0.2016
EIF4A2	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	4	5|5|5|5	0.0425	0.5951
MEPCE	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	4	5|5|5|5	0.0203	0.6131
EIF4A2	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	2	5|5	0.1267	0.5319
MEPCE	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	2	5|5	0.4640	0.2191
EIF4A2	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1	5	0.6666	0.1043
MEPCE	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1	5	0.0749	0.5735
EIF4A2	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	2	5|5	0.3535	0.3172
MEPCE	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	2	5|5	0.6608	0.1078
EIF4A2	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	22	5|5|5|5|5|5|5|5|5|10|4|5|5|5|5|5|5|10|5|5|5|5	0.4116	0.2630
MEPCE	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	22	5|5|5|5|5|5|5|5|5|10|4|5|5|5|5|5|5|10|5|5|5|5	0.9983	0.0003
EIF4A2	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	9	5|5|3|5|5|5|5|5|5	0.1160	0.5419
MEPCE	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	9	5|5|3|5|5|5|5|5|5	0.0778	0.5718
EIF4A2	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	1	5	0.0318	0.6041
MEPCE	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	1	5	0.2095	0.4590
EIF4A2	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	1	5	0.3896	0.2851
MEPCE	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	1	5	0.0703	0.5770
EIF4A2	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	2	5|5	0.6948	0.0887
MEPCE	gi|22202637|gn|PFDN5:5204| prefoldin subunit 5 isoform gamma [Homo sapiens]	3	2	5|5	0.4705	0.2140
EIF4A2	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	1	5	0.1169	0.5409
MEPCE	gi|22208967|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform a [Homo sapiens]	3	1	5	0.2327	0.4356
EIF4A2	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	1	5	0.0038	0.6346
MEPCE	gi|22208979|gn|HMGA1:3159| high mobility group protein HMG-I/HMG-Y isoform b [Homo sapiens]	3	1	5	0.0475	0.5928
EIF4A2	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	26	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5410	0.1688
MEPCE	gi|222136639|gn|MTHFD1:4522| C-1-tetrahydrofolate synthase, cytoplasmic [Homo sapiens]	3	26	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5270	0.1771
EIF4A2	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	2	5|5	0.0045	0.6334
MEPCE	gi|222144262|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 3 [Homo sapiens]	3	2	5|5	0.0045	0.6334
EIF4A2	gi|222144326|gn|MYL12B:103910| myosin regulatory light chain 12B [Homo sapiens]	3	3	5|5|5	0.0397	0.5976
MEPCE	gi|222144326|gn|MYL12B:103910| myosin regulatory light chain 12B [Homo sapiens]	3	3	5|5|5	0.0323	0.6040
EIF4A2	gi|222352151|gn|PCBP1:5093| poly(rC)-binding protein 1 [Homo sapiens]	3	4	5|5|5|5	0.8159	0.0422
MEPCE	gi|222352151|gn|PCBP1:5093| poly(rC)-binding protein 1 [Homo sapiens]	3	4	5|5|5|5	0.4462	0.2372
EIF4A2	gi|222352164|gn|NELL1:4745| protein kinase C-binding protein NELL1 isoform 1 precursor [Homo sapiens]	3	1	4	0.9733	0.0048
MEPCE	gi|222352164|gn|NELL1:4745| protein kinase C-binding protein NELL1 isoform 1 precursor [Homo sapiens]	3	1	4	0.0961	0.5572
EIF4A2	gi|223029410|gn|TLN1:7094| talin-1 [Homo sapiens]	3	6	5|5|5|5|5|5	0.4278	0.2519
MEPCE	gi|223029410|gn|TLN1:7094| talin-1 [Homo sapiens]	3	6	5|5|5|5|5|5	0.3283	0.3405
EIF4A2	gi|223278379|gn|RRP12:23223| RRP12-like protein isoform 1 [Homo sapiens]	3	2	5|5	0.0364	0.6001
MEPCE	gi|223278379|gn|RRP12:23223| RRP12-like protein isoform 1 [Homo sapiens]	3	2	5|5	0.0700	0.5773
EIF4A2	gi|223555917|gn|MTDH:92140| protein LYRIC [Homo sapiens]	3	1	5	0.5809	0.1467
MEPCE	gi|223555917|gn|MTDH:92140| protein LYRIC [Homo sapiens]	3	1	5	0.9737	0.0047
EIF4A2	gi|223555975|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.1671	0.4957
MEPCE	gi|223555975|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.0950	0.5579
EIF4A2	gi|224028246|gn|NONO:4841| non-POU domain-containing octamer-binding protein isoform 1 [Homo sapiens]	3	17	5|5|5|5|5|10|5|10|5|5|10|5|5|5|5|5|5	0.9999	0.0000
MEPCE	gi|224028246|gn|NONO:4841| non-POU domain-containing octamer-binding protein isoform 1 [Homo sapiens]	3	17	5|5|5|5|5|10|5|10|5|5|10|5|5|5|5|5|5	0.8033	0.0474
EIF4A2	gi|224451142|gn|STMN1:3925| stathmin isoform b [Homo sapiens]	3	2	5|5	0.3269	0.3435
MEPCE	gi|224451142|gn|STMN1:3925| stathmin isoform b [Homo sapiens]	3	2	5|5	0.5709	0.1541
EIF4A2	gi|224493972|gn|TXNDC5:81567| thioredoxin domain-containing protein 5 isoform 3 [Homo sapiens]	3	1	5	0.3108	0.3593
MEPCE	gi|224493972|gn|TXNDC5:81567| thioredoxin domain-containing protein 5 isoform 3 [Homo sapiens]	3	1	5	0.3085	0.3617
EIF4A2	gi|224549005|gn|RBM17:84991| splicing factor 45 [Homo sapiens]	3	2	5|5	0.1984	0.4673
MEPCE	gi|224549005|gn|RBM17:84991| splicing factor 45 [Homo sapiens]	3	2	5|5	0.2535	0.4131
EIF4A2	gi|224586882|gn|CSDA:8531| DNA-binding protein A isoform a [Homo sapiens]	3	1	5	0.7416	0.0723
MEPCE	gi|224586882|gn|CSDA:8531| DNA-binding protein A isoform a [Homo sapiens]	3	1	5	0.7468	0.0709
EIF4A2	gi|224586884|gn|CSDA:8531| DNA-binding protein A isoform b [Homo sapiens]	3	7	5|10|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|224586884|gn|CSDA:8531| DNA-binding protein A isoform b [Homo sapiens]	3	7	5|10|5|5|5|5|5	0.9964	0.0006
EIF4A2	gi|224809327|gn|FKBP5:2289| peptidyl-prolyl cis-trans isomerase FKBP5 isoform 1 [Homo sapiens]	3	1	5	0.0342	0.6018
MEPCE	gi|224809327|gn|FKBP5:2289| peptidyl-prolyl cis-trans isomerase FKBP5 isoform 1 [Homo sapiens]	3	1	5	0.1263	0.5327
EIF4A2	gi|224831253|gn|OPA1:4976| dynamin-like 120 kDa protein, mitochondrial isoform 8 [Homo sapiens]	3	1	5	0.0085	0.6268
MEPCE	gi|224831253|gn|OPA1:4976| dynamin-like 120 kDa protein, mitochondrial isoform 8 [Homo sapiens]	3	1	5	0.0077	0.6282
EIF4A2	gi|22538465|gn|PSMB3:5691| proteasome subunit beta type-3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.2786	0.3888
MEPCE	gi|22538465|gn|PSMB3:5691| proteasome subunit beta type-3 [Homo sapiens]	3	6	5|5|5|5|5|5	0.2967	0.3728
EIF4A2	gi|22538467|gn|PSMB4:5692| proteasome subunit beta type-4 [Homo sapiens]	3	6	10|5|5|5|5|5	0.2335	0.4346
MEPCE	gi|22538467|gn|PSMB4:5692| proteasome subunit beta type-4 [Homo sapiens]	3	6	10|5|5|5|5|5	0.0896	0.5627
EIF4A2	gi|225543215|gn|MKI67:4288| antigen KI-67 isoform 2 [Homo sapiens]	3	1	5	0.8658	0.0279
MEPCE	gi|225543215|gn|MKI67:4288| antigen KI-67 isoform 2 [Homo sapiens]	3	1	5	0.3753	0.2945
EIF4A2	gi|225543288|gn|SAE1:10055| SUMO-activating enzyme subunit 1 isoform c [Homo sapiens]	3	2	5|5	0.0576	0.5865
MEPCE	gi|225543288|gn|SAE1:10055| SUMO-activating enzyme subunit 1 isoform c [Homo sapiens]	3	2	5|5	0.1039	0.5507
EIF4A2	gi|225579074|gn|SARS2:54938| serine--tRNA ligase, mitochondrial isoform a precursor [Homo sapiens]	3	2	5|5	0.4519	0.2328
MEPCE	gi|225579074|gn|SARS2:54938| serine--tRNA ligase, mitochondrial isoform a precursor [Homo sapiens]	3	2	5|5	0.4492	0.2350
EIF4A2	gi|225690604|gn|SNCA:6622| alpha-synuclein isoform NACP140 [Homo sapiens]	3	3	5|5|5	0.0945	0.5584
MEPCE	gi|225690604|gn|SNCA:6622| alpha-synuclein isoform NACP140 [Homo sapiens]	3	3	5|5|5	0.2728	0.3944
EIF4A2	gi|226246671|gn|RPS20:6224| 40S ribosomal protein S20 isoform 1 [Homo sapiens]	3	2	5|5	0.5166	0.1835
MEPCE	gi|226246671|gn|RPS20:6224| 40S ribosomal protein S20 isoform 1 [Homo sapiens]	3	2	5|5	0.8667	0.0272
EIF4A2	gi|226371618|gn|SRP54:6729| signal recognition particle 54 kDa protein isoform 2 [Homo sapiens]	3	3	5|5|5	0.4542	0.2294
MEPCE	gi|226371618|gn|SRP54:6729| signal recognition particle 54 kDa protein isoform 2 [Homo sapiens]	3	3	5|5|5	0.1602	0.5027
EIF4A2	gi|226371750|gn|TUT1:64852| speckle targeted PIP5K1A-regulated poly(A) polymerase [Homo sapiens]	3	1	5	0.3669	0.3055
MEPCE	gi|226371750|gn|TUT1:64852| speckle targeted PIP5K1A-regulated poly(A) polymerase [Homo sapiens]	3	1	5	0.9983	0.0003
EIF4A2	gi|226371754|gn|KATNAL2:83473| katanin p60 ATPase-containing subunit A-like 2 [Homo sapiens]	3	1	5	0.0032	0.6362
MEPCE	gi|226371754|gn|KATNAL2:83473| katanin p60 ATPase-containing subunit A-like 2 [Homo sapiens]	3	1	5	0.0073	0.6288
EIF4A2	gi|22748747|gn|LSM12:124801| protein LSM12 homolog [Homo sapiens]	3	4	5|5|5|5	0.9908	0.0013
MEPCE	gi|22748747|gn|LSM12:124801| protein LSM12 homolog [Homo sapiens]	3	4	5|5|5|5	0.3669	0.3055
EIF4A2	gi|228008291|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens]	3	1	5	0.9222	0.0156
MEPCE	gi|228008291|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens]	3	1	5	0.9533	0.0088
EIF4A2	gi|228008400|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 6 [Homo sapiens]	3	6	5|5|5|5|5|5	0.9999	0.0000
MEPCE	gi|228008400|gn|SYNCRIP:10492| heterogeneous nuclear ribonucleoprotein Q isoform 6 [Homo sapiens]	3	6	5|5|5|5|5|5	1.0000	0.0000
EIF4A2	gi|23110925|gn|PSMB6:5694| proteasome subunit beta type-6 isoform 1 proprotein [Homo sapiens]	3	2	5|5	0.0094	0.6259
MEPCE	gi|23110925|gn|PSMB6:5694| proteasome subunit beta type-6 isoform 1 proprotein [Homo sapiens]	3	2	5|5	0.0601	0.5842
EIF4A2	gi|23110935|gn|PSMA1:5682| proteasome subunit alpha type-1 isoform 1 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|5|5	0.2559	0.4105
MEPCE	gi|23110935|gn|PSMA1:5682| proteasome subunit alpha type-1 isoform 1 [Homo sapiens]	3	10	5|5|5|5|5|10|5|5|5|5	0.2815	0.3851
EIF4A2	gi|23110939|gn|PSMA3:5684| proteasome subunit alpha type-3 isoform 2 [Homo sapiens]	3	6	5|10|5|5|5|5	0.0268	0.6076
MEPCE	gi|23110939|gn|PSMA3:5684| proteasome subunit alpha type-3 isoform 2 [Homo sapiens]	3	6	5|10|5|5|5|5	0.0701	0.5771
EIF4A2	gi|23110942|gn|PSMA5:5686| proteasome subunit alpha type-5 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0731	0.5752
MEPCE	gi|23110942|gn|PSMA5:5686| proteasome subunit alpha type-5 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0130	0.6208
EIF4A2	gi|23110944|gn|PSMA6:5687| proteasome subunit alpha type-6 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.1731	0.4894
MEPCE	gi|23110944|gn|PSMA6:5687| proteasome subunit alpha type-6 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.1113	0.5457
EIF4A2	gi|23308577|gn|PHGDH:26227| D-3-phosphoglycerate dehydrogenase [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.3051	0.3653
MEPCE	gi|23308577|gn|PHGDH:26227| D-3-phosphoglycerate dehydrogenase [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.1729	0.4898
EIF4A2	gi|23397429|gn|EIF3M:10480| eukaryotic translation initiation factor 3 subunit M [Homo sapiens]	3	22	5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|23397429|gn|EIF3M:10480| eukaryotic translation initiation factor 3 subunit M [Homo sapiens]	3	22	5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5	0.6749	0.0983
EIF4A2	gi|23503295|gn|CSNK2B:1460| casein kinase II subunit beta [Homo sapiens]	3	2	5|5	0.8011	0.0487
MEPCE	gi|23503295|gn|CSNK2B:1460| casein kinase II subunit beta [Homo sapiens]	3	2	5|5	0.5730	0.1531
EIF4A2	gi|23510283|gn|ELP3:55140| elongator complex protein 3 [Homo sapiens]	3	1	5	0.0330	0.6030
MEPCE	gi|23510283|gn|ELP3:55140| elongator complex protein 3 [Homo sapiens]	3	1	5	0.0093	0.6260
EIF4A2	gi|23510340|gn|UBA1:7317| ubiquitin-like modifier-activating enzyme 1 [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1352	0.5254
MEPCE	gi|23510340|gn|UBA1:7317| ubiquitin-like modifier-activating enzyme 1 [Homo sapiens]	3	18	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1783	0.4849
EIF4A2	gi|23510356|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 1 [Homo sapiens]	3	3	5|5|5	0.0805	0.5709
MEPCE	gi|23510356|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 1 [Homo sapiens]	3	3	5|5|5	0.5641	0.1571
EIF4A2	gi|23510358|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 2 [Homo sapiens]	3	3	5|5|5	0.0700	0.5773
MEPCE	gi|23510358|gn|RIOK1:83732| serine/threonine-protein kinase RIO1 isoform 2 [Homo sapiens]	3	3	5|5|5	0.3288	0.3399
EIF4A2	gi|23510448|gn|MCM5:4174| DNA replication licensing factor MCM5 [Homo sapiens]	3	15	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.3360	0.3326
MEPCE	gi|23510448|gn|MCM5:4174| DNA replication licensing factor MCM5 [Homo sapiens]	3	15	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.3881	0.2866
EIF4A2	gi|237649015|gn|EBNA1BP2:10969| probable rRNA-processing protein EBP2 isoform 2 [Homo sapiens]	3	1	5	0.3765	0.2941
MEPCE	gi|237649015|gn|EBNA1BP2:10969| probable rRNA-processing protein EBP2 isoform 2 [Homo sapiens]	3	1	5	0.9630	0.0068
EIF4A2	gi|237649049|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 2 [Homo sapiens]	3	3	10|5|5	0.0327	0.6033
MEPCE	gi|237649049|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 2 [Homo sapiens]	3	3	10|5|5	0.0037	0.6347
EIF4A2	gi|237681109|gn|ATP1A1:476| sodium/potassium-transporting ATPase subunit alpha-1 isoform c [Homo sapiens]	3	3	5|5|5	0.2368	0.4309
MEPCE	gi|237681109|gn|ATP1A1:476| sodium/potassium-transporting ATPase subunit alpha-1 isoform c [Homo sapiens]	3	3	5|5|5	0.2355	0.4319
EIF4A2	gi|238624257|gn|IGF2BP1:10642| insulin-like growth factor 2 mRNA-binding protein 1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|10	1.0000	0.0000
MEPCE	gi|238624257|gn|IGF2BP1:10642| insulin-like growth factor 2 mRNA-binding protein 1 isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|10	0.7697	0.0617
EIF4A2	gi|238776833|gn|ALYREF:10189| THO complex subunit 4 [Homo sapiens]	3	10	5|5|5|5|5|5|10|5|5|5	0.3845	0.2896
MEPCE	gi|238776833|gn|ALYREF:10189| THO complex subunit 4 [Homo sapiens]	3	10	5|5|5|5|5|5|10|5|5|5	0.6787	0.0958
EIF4A2	gi|239937451|gn|AHCY:191| adenosylhomocysteinase isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.5274	0.1762
MEPCE	gi|239937451|gn|AHCY:191| adenosylhomocysteinase isoform 2 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.2600	0.4076
EIF4A2	gi|241982780|gn|PDCD6IP:10015| programmed cell death 6-interacting protein isoform 2 [Homo sapiens]	3	1	5	0.0415	0.5960
MEPCE	gi|241982780|gn|PDCD6IP:10015| programmed cell death 6-interacting protein isoform 2 [Homo sapiens]	3	1	5	0.6693	0.1038
EIF4A2	gi|242117893|gn|BAX:581| apoptosis regulator BAX isoform sigma [Homo sapiens]	3	2	5|5	0.5789	0.1487
MEPCE	gi|242117893|gn|BAX:581| apoptosis regulator BAX isoform sigma [Homo sapiens]	3	2	5|5	0.2686	0.3977
EIF4A2	gi|242117971|gn|RBMXL1:494115| RNA binding motif protein, X-linked-like-1 [Homo sapiens]	3	4	5|5|5|5	0.5193	0.1805
MEPCE	gi|242117971|gn|RBMXL1:494115| RNA binding motif protein, X-linked-like-1 [Homo sapiens]	3	4	5|5|5|5	0.6533	0.1108
EIF4A2	gi|242247001|gn|CLTCL1:8218| clathrin heavy chain 2 isoform 2 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.2234	0.4467
MEPCE	gi|242247001|gn|CLTCL1:8218| clathrin heavy chain 2 isoform 2 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.2010	0.4636
EIF4A2	gi|24234683|gn|USP11:8237| ubiquitin carboxyl-terminal hydrolase 11 [Homo sapiens]	3	1	5	0.2907	0.3772
MEPCE	gi|24234683|gn|USP11:8237| ubiquitin carboxyl-terminal hydrolase 11 [Homo sapiens]	3	1	5	0.9999	0.0000
EIF4A2	gi|24234686|gn|HSPA8:3312| heat shock cognate 71 kDa protein isoform 2 [Homo sapiens]	3	17	5|5|5|5|5|10|10|5|5|5|5|5|5|10|5|10|5	0.0389	0.5981
MEPCE	gi|24234686|gn|HSPA8:3312| heat shock cognate 71 kDa protein isoform 2 [Homo sapiens]	3	17	5|5|5|5|5|10|10|5|5|5|5|5|5|10|5|10|5	0.0133	0.6202
EIF4A2	gi|24234688|gn|HSPA9:3313| stress-70 protein, mitochondrial precursor [Homo sapiens]	3	24	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5	0.1556	0.5070
MEPCE	gi|24234688|gn|HSPA9:3313| stress-70 protein, mitochondrial precursor [Homo sapiens]	3	24	5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5	0.2235	0.4464
EIF4A2	gi|24234690|gn|MRE11A:4361| double-strand break repair protein MRE11A isoform 2 [Homo sapiens]	3	1	5	0.3545	0.3165
MEPCE	gi|24234690|gn|MRE11A:4361| double-strand break repair protein MRE11A isoform 2 [Homo sapiens]	3	1	5	0.5807	0.1477
EIF4A2	gi|24234699|gn|KRT19:3880| keratin, type I cytoskeletal 19 [Homo sapiens]	3	4	5|5|5|5	0.7150	0.0823
MEPCE	gi|24234699|gn|KRT19:3880| keratin, type I cytoskeletal 19 [Homo sapiens]	3	4	5|5|5|5	0.6161	0.1309
EIF4A2	gi|24307919|gn|SNRNP27:11017| U4/U6	3	1	25	0.0831	0.5688
MEPCE	gi|24307919|gn|SNRNP27:11017| U4/U6	3	1	25	0.3904	0.2840
EIF4A2	gi|24307939|gn|CCT5:22948| T-complex protein 1 subunit epsilon [Homo sapiens]	3	19	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5	0.0460	0.5936
MEPCE	gi|24307939|gn|CCT5:22948| T-complex protein 1 subunit epsilon [Homo sapiens]	3	19	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5	0.0852	0.5669
EIF4A2	gi|24307971|gn|STK38L:23012| serine/threonine-protein kinase 38-like [Homo sapiens]	3	11	5|5|5|5|5|10|5|5|5|5|5	0.1770	0.4864
MEPCE	gi|24307971|gn|STK38L:23012| serine/threonine-protein kinase 38-like [Homo sapiens]	3	11	5|5|5|5|5|10|5|5|5|5|5	0.1611	0.5023
EIF4A2	gi|24308207|gn|LRRC47:57470| leucine-rich repeat-containing protein 47 [Homo sapiens]	3	3	5|5|5	0.3433	0.3265
MEPCE	gi|24308207|gn|LRRC47:57470| leucine-rich repeat-containing protein 47 [Homo sapiens]	3	3	5|5|5	0.3350	0.3332
EIF4A2	gi|24308295|gn|GRPEL1:80273| grpE protein homolog 1, mitochondrial precursor [Homo sapiens]	3	2	5|5	0.2096	0.4588
MEPCE	gi|24308295|gn|GRPEL1:80273| grpE protein homolog 1, mitochondrial precursor [Homo sapiens]	3	2	5|5	0.3717	0.3001
EIF4A2	gi|24430149|gn|NUP155:9631| nuclear pore complex protein Nup155 isoform 1 [Homo sapiens]	3	1	5	0.2193	0.4490
MEPCE	gi|24430149|gn|NUP155:9631| nuclear pore complex protein Nup155 isoform 1 [Homo sapiens]	3	1	5	0.0311	0.6049
EIF4A2	gi|24430151|gn|PSMC1:5700| 26S protease regulatory subunit 4 [Homo sapiens]	3	15	5|5|5|5|5|5|5|5|5|5|5|5|5|4|5	0.3096	0.3611
MEPCE	gi|24430151|gn|PSMC1:5700| 26S protease regulatory subunit 4 [Homo sapiens]	3	15	5|5|5|5|5|5|5|5|5|5|5|5|5|4|5	0.2175	0.4502
EIF4A2	gi|24430155|gn|PSMC4:5704| 26S protease regulatory subunit 6B isoform 2 [Homo sapiens]	3	10	5|5|5|5|10|5|5|5|5|5	0.4095	0.2651
MEPCE	gi|24430155|gn|PSMC4:5704| 26S protease regulatory subunit 6B isoform 2 [Homo sapiens]	3	10	5|5|5|5|10|5|5|5|5|5	0.0972	0.5566
EIF4A2	gi|24430190|gn|KRT15:3866| keratin, type I cytoskeletal 15 [Homo sapiens]	3	1	5	0.1988	0.4661
MEPCE	gi|24430190|gn|KRT15:3866| keratin, type I cytoskeletal 15 [Homo sapiens]	3	1	5	0.2164	0.4519
EIF4A2	gi|24432106|gn|KIAA1967:57805| DBIRD complex subunit KIAA1967 [Homo sapiens]	3	6	5|5|5|5|5|5	0.7486	0.0705
MEPCE	gi|24432106|gn|KIAA1967:57805| DBIRD complex subunit KIAA1967 [Homo sapiens]	3	6	5|5|5|5|5|5	0.6186	0.1299
EIF4A2	gi|24475847|gn|IVNS1ABP:10625| influenza virus NS1A-binding protein [Homo sapiens]	3	16	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1502	0.5104
MEPCE	gi|24475847|gn|IVNS1ABP:10625| influenza virus NS1A-binding protein [Homo sapiens]	3	16	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.3166	0.3521
EIF4A2	gi|24497609|gn|NUP62:23636| nuclear pore glycoprotein p62 [Homo sapiens]	3	2	5|5	0.1180	0.5402
MEPCE	gi|24497609|gn|NUP62:23636| nuclear pore glycoprotein p62 [Homo sapiens]	3	2	5|5	0.1012	0.5532
EIF4A2	gi|24638454|gn|ATP2A2:488| sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens]	3	1	5	0.0506	0.5911
MEPCE	gi|24638454|gn|ATP2A2:488| sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b [Homo sapiens]	3	1	5	0.0900	0.5622
EIF4A2	gi|24762236|gn|PRPF38A:84950| pre-mRNA-splicing factor 38A [Homo sapiens]	3	5	5|5|5|5|5	0.0632	0.5818
MEPCE	gi|24762236|gn|PRPF38A:84950| pre-mRNA-splicing factor 38A [Homo sapiens]	3	5	5|5|5|5|5	0.1073	0.5485
EIF4A2	gi|24797086|gn|IPO5:3843| importin-5 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.4206	0.2557
MEPCE	gi|24797086|gn|IPO5:3843| importin-5 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.2352	0.4321
EIF4A2	gi|25121987|gn|NCAPH:23397| condensin complex subunit 2 [Homo sapiens]	3	4	5|5|5|5	0.2479	0.4194
MEPCE	gi|25121987|gn|NCAPH:23397| condensin complex subunit 2 [Homo sapiens]	3	4	5|5|5|5	0.3072	0.3632
EIF4A2	gi|25121993|gn|MSI2:124540| RNA-binding protein Musashi homolog 2 isoform b [Homo sapiens]	3	1	5	0.5162	0.1839
MEPCE	gi|25121993|gn|MSI2:124540| RNA-binding protein Musashi homolog 2 isoform b [Homo sapiens]	3	1	5	0.5033	0.1921
EIF4A2	gi|253970456|gn|HTATSF1:27336| HIV Tat-specific factor 1 [Homo sapiens]	3	4	5|5|5|5	0.2093	0.4593
MEPCE	gi|253970456|gn|HTATSF1:27336| HIV Tat-specific factor 1 [Homo sapiens]	3	4	5|5|5|5	0.3967	0.2770
