Bait	Prey	#Rep	AvgP	BFDR
MEPCE	gi|192807336|gn|SRRT:51593| serrate RNA effector molecule homolog isoform e [Homo sapiens]	3	0.2006	0.3019
EIF4A2	gi|193083112|gn|PCBP2:5094| poly(rC)-binding protein 2 isoform f [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|193083112|gn|PCBP2:5094| poly(rC)-binding protein 2 isoform f [Homo sapiens]	3	0.5038	0.1269
EIF4A2	gi|193211600|gn|PPM1A:5494| protein phosphatase 1A isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|193211600|gn|PPM1A:5494| protein phosphatase 1A isoform 3 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|194018520|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|194018520|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 1 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|194018522|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 3 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|194018522|gn|GSPT1:2935| eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform 3 [Homo sapiens]	3	0.0014	0.6008
EIF4A2	gi|194018537|gn|PRPSAP1:5635| phosphoribosyl pyrophosphate synthase-associated protein 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|194018537|gn|PRPSAP1:5635| phosphoribosyl pyrophosphate synthase-associated protein 1 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|194097323|gn|ECHS1:1892| enoyl-CoA hydratase, mitochondrial [Homo sapiens]	3	0.0019	0.5887
MEPCE	gi|194097323|gn|ECHS1:1892| enoyl-CoA hydratase, mitochondrial [Homo sapiens]	3	0.1388	0.3434
EIF4A2	gi|194272210|gn|KARS:3735| lysine--tRNA ligase isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|194272210|gn|KARS:3735| lysine--tRNA ligase isoform 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|194294508|gn|KIFC3:3801| kinesin-like protein KIFC3 isoform 3 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|194294508|gn|KIFC3:3801| kinesin-like protein KIFC3 isoform 3 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|194294548|gn|HSPBP1:23640| hsp70-binding protein 1 [Homo sapiens]	3	0.1528	0.3318
MEPCE	gi|194294548|gn|HSPBP1:23640| hsp70-binding protein 1 [Homo sapiens]	3	0.0341	0.4535
EIF4A2	gi|194306559|gn|KLC1:3831| kinesin light chain 1 isoform 3 [Homo sapiens]	3	0.0016	0.5954
MEPCE	gi|194306559|gn|KLC1:3831| kinesin light chain 1 isoform 3 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|194328734|gn|PHF10:55274| PHD finger protein 10 isoform a [Homo sapiens]	3	0.0826	0.3918
MEPCE	gi|194328734|gn|PHF10:55274| PHD finger protein 10 isoform a [Homo sapiens]	3	0.6028	0.1022
EIF4A2	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|194578907|gn|EIF4E:1977| eukaryotic translation initiation factor 4E isoform 3 [Homo sapiens]	3	0.6685	0.0581
EIF4A2	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	0.0591	0.4179
MEPCE	gi|195222722|gn|LSM5:23658| U6 snRNA-associated Sm-like protein LSm5 isoform b [Homo sapiens]	3	0.3946	0.1626
EIF4A2	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|195539356|gn|PSMB5:5693| proteasome subunit beta type-5 isoform 2 [Homo sapiens]	3	0.0005	0.6238
EIF4A2	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|195539395|gn|PSMC6:5706| 26S protease regulatory subunit 10B [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	0.0015	0.5994
MEPCE	gi|195546900|gn|SUPT5H:6829| transcription elongation factor SPT5 isoform a [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	0.8161	0.0134
MEPCE	gi|19557656|gn|HIST1H2AB:8335| histone H2A type 1-B/E [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|195927004|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 4 [Homo sapiens]	3	0.0204	0.4835
EIF4A2	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|195927006|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 5 precursor [Homo sapiens]	3	0.0025	0.5793
EIF4A2	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	0.0128	0.5036
MEPCE	gi|195927044|gn|RTCA:8634| RNA 3'-terminal phosphate cyclase isoform a [Homo sapiens]	3	0.0871	0.3867
EIF4A2	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	0.1999	0.3025
MEPCE	gi|195976805|gn|HYOU1:10525| hypoxia up-regulated protein 1 precursor [Homo sapiens]	3	0.0006	0.6194
EIF4A2	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|197276600|gn|MAP4:4134| microtubule-associated protein 4 isoform 4 [Homo sapiens]	3	0.2390	0.2789
EIF4A2	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	0.0084	0.5227
MEPCE	gi|197304708|gn|C7orf50:84310| uncharacterized protein C7orf50 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|197382708|gn|EIF4E3:317649| eukaryotic translation initiation factor 4E type 3 isoform a [Homo sapiens]	3	0.3425	0.2028
EIF4A2	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|198041728|gn|KLC2:64837| kinesin light chain 2 isoform 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	0.0090	0.5195
MEPCE	gi|19913424|gn|ATP6V1A:523| V-type proton ATPase catalytic subunit A [Homo sapiens]	3	0.6688	0.0563
EIF4A2	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	0.2420	0.2777
MEPCE	gi|19913426|gn|ATP6V1B1:525| V-type proton ATPase subunit B, kidney isoform [Homo sapiens]	3	0.1198	0.3575
EIF4A2	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|19913428|gn|ATP6V1B2:526| V-type proton ATPase subunit B, brain isoform [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	0.0050	0.5542
MEPCE	gi|19923142|gn|KPNB1:3837| importin subunit beta-1 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	0.0004	0.6277
MEPCE	gi|19923193|gn|ST13:6767| hsc70-interacting protein [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	0.3347	0.2222
MEPCE	gi|19923855|gn|SYAP1:94056| synapse-associated protein 1 [Homo sapiens]	3	0.0113	0.5117
EIF4A2	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|20070125|gn|P4HB:5034| protein disulfide-isomerase precursor [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	0.4180	0.1545
MEPCE	gi|20127408|gn|HADHA:3030| trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]	3	0.0188	0.4879
EIF4A2	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	0.6155	0.0958
MEPCE	gi|20127454|gn|ATIC:471| bifunctional purine biosynthesis protein PURH [Homo sapiens]	3	0.0176	0.4914
EIF4A2	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	0.4009	0.1599
MEPCE	gi|20127499|gn|SRSF6:6431| serine/arginine-rich splicing factor 6 [Homo sapiens]	3	0.0766	0.3973
EIF4A2	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	0.1055	0.3717
MEPCE	gi|20270253|gn|ASCC2:84164| activating signal cointegrator 1 complex subunit 2 isoform 1 [Homo sapiens]	3	0.0060	0.5424
EIF4A2	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	0.3329	0.2310
MEPCE	gi|20270371|gn|CMBL:134147| carboxymethylenebutenolidase homolog [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	0.3910	0.1660
MEPCE	gi|20336294|gn|DHX30:22907| putative ATP-dependent RNA helicase DHX30 isoform 1 [Homo sapiens]	3	0.2116	0.2945
EIF4A2	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	0.9992	0.0000
MEPCE	gi|20544168|gn|HIST1H1T:3010| histone H1t [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	0.0150	0.4979
MEPCE	gi|207442675|gn|RAB1A:5861| ras-related protein Rab-1A isoform 2 [Homo sapiens]	3	0.0022	0.5834
EIF4A2	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	0.3815	0.1721
MEPCE	gi|207452735|gn|EPPK1:83481| epiplakin [Homo sapiens]	3	0.8465	0.0102
EIF4A2	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	0.1043	0.3733
MEPCE	gi|208022658|gn|GLB1:2720| beta-galactosidase isoform c preproprotein [Homo sapiens]	3	0.3570	0.1863
EIF4A2	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	0.9971	0.0001
MEPCE	gi|208431836|gn|PABPC4:8761| polyadenylate-binding protein 4 isoform 3 [Homo sapiens]	3	0.0695	0.4052
EIF4A2	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	0.0029	0.5741
MEPCE	gi|208609990|gn|NUP93:9688| nuclear pore complex protein Nup93 isoform 1 [Homo sapiens]	3	0.0463	0.4365
EIF4A2	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	0.2289	0.2829
MEPCE	gi|208879470|gn|EEF1E1:9521| eukaryotic translation elongation factor 1 epsilon-1 isoform 2 [Homo sapiens]	3	0.5200	0.1238
EIF4A2	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	0.5955	0.1054
MEPCE	gi|208973242|gn|YWHAZ:7534| 14-3-3 protein zeta/delta [Homo sapiens]	3	0.9446	0.0028
EIF4A2	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	0.3371	0.2148
MEPCE	gi|20911035|gn|PPIL4:85313| peptidyl-prolyl cis-trans isomerase-like 4 [Homo sapiens]	3	0.2061	0.2973
EIF4A2	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|209862831|gn|ANXA2:302| annexin A2 isoform 2 [Homo sapiens]	3	0.3199	0.2441
EIF4A2	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	0.0021	0.5860
MEPCE	gi|209869995|gn|GART:2618| trifunctional purine biosynthetic protein adenosine-3 isoform 1 [Homo sapiens]	3	0.0053	0.5499
EIF4A2	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	0.6044	0.1006
MEPCE	gi|209915588|gn|RPL28:6158| 60S ribosomal protein L28 isoform 5 [Homo sapiens]	3	0.9806	0.0008
EIF4A2	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|209969700|gn|CCDC124:115098| coiled-coil domain-containing protein 124 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|209969703|gn|RCC2:55920| protein RCC2 [Homo sapiens]	3	0.0002	0.6436
EIF4A2	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|210032790|gn|FAM184B:27146| protein FAM184B [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	0.0104	0.5142
MEPCE	gi|210147571|gn|ANP32E:81611| acidic leucine-rich nuclear phosphoprotein 32 family member E isoform 3 [Homo sapiens]	3	0.4222	0.1524
EIF4A2	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|21070976|gn|DIABLO:56616| diablo homolog, mitochondrial isoform 3 precursor [Homo sapiens]	3	0.0005	0.6238
EIF4A2	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	0.1552	0.3279
MEPCE	gi|212276104|gn|LRRFIP1:9208| leucine-rich repeat flightless-interacting protein 1 isoform 5 [Homo sapiens]	3	0.0059	0.5436
EIF4A2	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	0.6726	0.0497
MEPCE	gi|212276121|gn|MCTS1:28985| malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	3	0.6576	0.0789
EIF4A2	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|212549555|gn|ILF3:3609| interleukin enhancer-binding factor 3 isoform e [Homo sapiens]	3	0.9982	0.0001
EIF4A2	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	0.0016	0.5954
MEPCE	gi|21265070|gn|MRPL2:51069| 39S ribosomal protein L2, mitochondrial [Homo sapiens]	3	0.0011	0.6067
EIF4A2	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	0.0122	0.5077
MEPCE	gi|21327701|gn|TAF15:8148| TATA-binding protein-associated factor 2N isoform 1 [Homo sapiens]	3	0.0853	0.3898
EIF4A2	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	0.0056	0.5462
MEPCE	gi|21328448|gn|YWHAB:7529| 14-3-3 protein beta/alpha [Homo sapiens]	3	0.0104	0.5142
EIF4A2	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	0.0061	0.5404
MEPCE	gi|213511508|gn|BCAP31:10134| B-cell receptor-associated protein 31 isoform a [Homo sapiens]	3	0.3336	0.2269
EIF4A2	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	0.0028	0.5749
MEPCE	gi|21359945|gn|NCAPG:64151| condensin complex subunit 3 [Homo sapiens]	3	0.0007	0.6153
EIF4A2	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	0.8684	0.0085
MEPCE	gi|21359951|gn|RBM42:79171| RNA-binding protein 42 [Homo sapiens]	3	0.9999	0.0000
EIF4A2	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|21361091|gn|UCHL1:7345| ubiquitin carboxyl-terminal hydrolase isozyme L1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|21361144|gn|PSMC3:5702| 26S protease regulatory subunit 6A [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|21361282|gn|SRSF4:6429| serine/arginine-rich splicing factor 4 [Homo sapiens]	3	0.9941	0.0003
EIF4A2	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|21361322|gn|TUBB4A:10382| tubulin beta-4A chain [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	0.0032	0.5710
MEPCE	gi|21361356|gn|TOMM34:10953| mitochondrial import receptor subunit TOM34 [Homo sapiens]	3	0.0004	0.6277
EIF4A2	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	0.2015	0.3013
MEPCE	gi|21361376|gn|SF3A2:8175| splicing factor 3A subunit 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	0.0010	0.6095
MEPCE	gi|21361399|gn|PPP2R1A:5518| serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|21361576|gn|ZCCHC17:51538| nucleolar protein of 40 kDa [Homo sapiens]	3	0.2146	0.2910
EIF4A2	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|21361657|gn|PDIA3:2923| protein disulfide-isomerase A3 precursor [Homo sapiens]	3	0.0322	0.4587
EIF4A2	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	0.0795	0.3948
MEPCE	gi|21361659|gn|IPO9:55705| importin-9 [Homo sapiens]	3	0.1152	0.3612
EIF4A2	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|21361684|gn|GPATCH1:55094| G patch domain-containing protein 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	0.0327	0.4578
MEPCE	gi|21361794|gn|CAND1:55832| cullin-associated NEDD8-dissociated protein 1 [Homo sapiens]	3	0.0012	0.6030
EIF4A2	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	0.0023	0.5812
MEPCE	gi|21361875|gn|LTV1:84946| protein LTV1 homolog [Homo sapiens]	3	0.1095	0.3676
EIF4A2	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	0.0052	0.5515
MEPCE	gi|213688375|gn|ACTA2:59| actin, aortic smooth muscle [Homo sapiens]	3	0.0006	0.6194
EIF4A2	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	0.1816	0.3138
MEPCE	gi|21389407|gn|HEXIM2:124790| protein HEXIM2 [Homo sapiens]	3	0.6900	0.0384
EIF4A2	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	0.0067	0.5372
MEPCE	gi|21396489|gn|LONP1:9361| lon protease homolog, mitochondrial [Homo sapiens]	3	0.0052	0.5515
EIF4A2	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	0.0119	0.5098
MEPCE	gi|214010212|gn|ARCN1:372| coatomer subunit delta isoform 2 [Homo sapiens]	3	0.2494	0.2737
EIF4A2	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|214010226|gn|RPS24:6229| 40S ribosomal protein S24 isoform d [Homo sapiens]	3	0.6923	0.0378
EIF4A2	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	0.2045	0.2991
MEPCE	gi|21464101|gn|YWHAG:7532| 14-3-3 protein gamma [Homo sapiens]	3	0.5098	0.1256
EIF4A2	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	0.0020	0.5868
MEPCE	gi|21493022|gn|AKAP12:9590| A-kinase anchor protein 12 isoform 1 [Homo sapiens]	3	0.0367	0.4495
EIF4A2	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|21536286|gn|CKB:1152| creatine kinase B-type [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|21536326|gn|HNRNPUL1:11100| heterogeneous nuclear ribonucleoprotein U-like protein 1 isoform a [Homo sapiens]	3	0.8179	0.0129
MEPCE	gi|21536326|gn|HNRNPUL1:11100| heterogeneous nuclear ribonucleoprotein U-like protein 1 isoform a [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|21536449|gn|PFDN1:5201| prefoldin subunit 1 [Homo sapiens]	3	0.0134	0.5021
MEPCE	gi|21536449|gn|PFDN1:5201| prefoldin subunit 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|215490011|gn|AIMP1:9255| aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|215490011|gn|AIMP1:9255| aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform b precursor [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|215490037|gn|MORF4L2:9643| mortality factor 4-like protein 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|215490037|gn|MORF4L2:9643| mortality factor 4-like protein 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	0.0793	0.3953
MEPCE	gi|215490056|gn|MGEA5:10724| bifunctional protein NCOAT isoform b [Homo sapiens]	3	0.1153	0.3601
EIF4A2	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	0.3769	0.1748
MEPCE	gi|21614513|gn|ALDH1L1:10840| cytosolic 10-formyltetrahydrofolate dehydrogenase isoform 2 [Homo sapiens]	3	0.3234	0.2424
EIF4A2	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|21700763|gn|HN1L:90861| hematological and neurological expressed 1-like protein [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	0.5750	0.1104
MEPCE	gi|217035107|gn|CPSF7:79869| cleavage and polyadenylation specificity factor subunit 7 isoform 3 [Homo sapiens]	3	0.2997	0.2520
EIF4A2	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|217035152|gn|IMPDH1:3614| inosine-5'-monophosphate dehydrogenase 1 isoform d [Homo sapiens]	3	0.0007	0.6153
EIF4A2	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|217330646|gn|SUB1:10923| activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens]	3	0.0053	0.5499
EIF4A2	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	0.0007	0.6153
MEPCE	gi|21735621|gn|MDH2:4191| malate dehydrogenase, mitochondrial precursor [Homo sapiens]	3	0.0378	0.4469
EIF4A2	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	0.3422	0.2035
MEPCE	gi|217416381|gn|C17orf79:55352| cooperator of PRMT5 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	0.0497	0.4324
MEPCE	gi|219283152|gn|API5:8539| apoptosis inhibitor 5 isoform a [Homo sapiens]	3	0.0835	0.3913
EIF4A2	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|219555712|gn|EIF5A:1984| eukaryotic translation initiation factor 5A-1 isoform B [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	0.0027	0.5758
MEPCE	gi|219803946|gn|WIBG:84305| partner of Y14 and mago isoform 2 [Homo sapiens]	3	0.6658	0.0742
EIF4A2	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|219842262|gn|COPS2:9318| COP9 signalosome complex subunit 2 isoform 2 [Homo sapiens]	3	0.2193	0.2876
EIF4A2	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	0.3441	0.2002
MEPCE	gi|22035588|gn|MRPL24:79590| 39S ribosomal protein L24, mitochondrial [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	0.3361	0.2179
MEPCE	gi|221136939|gn|PRPF31:26121| U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|221316632|gn|COPB1:1315| coatomer subunit beta [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	0.0005	0.6238
MEPCE	gi|22202631|gn|AIFM1:9131| apoptosis-inducing factor 1, mitochondrial isoform 3 [Homo sapiens]	3	0.3313	0.2333
EIF4A2	gi|22202633|gn|PFDN5:5204| prefoldin subunit 5 isoform alpha [Homo sapiens]	3	0.3416	0.2041
